caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,14,arrival
1,14,join_queue
1,14,begin_service
2,64,arrival
2,64,join_queue
2,64,begin_service
3,82,arrival
3,82,join_queue
3,82,begin_service
4,101,arrival
4,101,join_queue
1,132,end_service
4,132,begin_service
3,156,end_service
2,158,end_service
4,207,end_service
5,212,arrival
5,212,join_queue
5,212,begin_service
6,224,arrival
6,224,join_queue
6,224,begin_service
5,298,end_service
7,387,arrival
7,387,join_queue
7,387,begin_service
8,389,arrival
8,389,join_queue
8,389,begin_service
7,447,end_service
6,454,end_service
9,476,arrival
9,476,join_queue
9,476,begin_service
10,526,arrival
10,526,join_queue
10,526,begin_service
8,532,end_service
11,636,arrival
11,636,join_queue
11,636,begin_service
12,649,arrival
12,649,join_queue
13,689,arrival
13,689,join_queue
11,696,end_service
12,696,begin_service
9,699,end_service
13,699,begin_service
14,730,arrival
14,730,join_queue
15,755,arrival
15,755,join_queue
12,756,end_service
14,756,begin_service
13,762,end_service
15,762,begin_service
14,816,end_service
15,822,end_service
10,826,end_service
16,1074,arrival
16,1074,join_queue
16,1074,begin_service
16,1134,end_service
17,1145,arrival
17,1145,join_queue
17,1145,begin_service
18,1181,arrival
18,1181,join_queue
18,1181,begin_service
19,1203,arrival
19,1203,join_queue
19,1203,begin_service
20,1209,arrival
20,1209,join_queue
21,1239,arrival
21,1239,join_queue
18,1270,end_service
20,1270,begin_service
17,1299,end_service
22,1299,arrival
22,1299,join_queue
21,1299,begin_service
23,1310,arrival
23,1310,join_queue
24,1329,arrival
24,1329,join_queue
19,1359,end_service
22,1359,begin_service
25,1420,arrival
25,1420,join_queue
22,1490,end_service
23,1490,begin_service
26,1505,arrival
26,1505,join_queue
21,1514,end_service
24,1514,begin_service
23,1550,end_service
25,1550,begin_service
20,1570,end_service
26,1570,begin_service
24,1600,end_service
27,1607,arrival
27,1607,join_queue
27,1607,begin_service
28,1620,arrival
28,1620,join_queue
29,1624,arrival
29,1624,join_queue
30,1649,arrival
30,1649,join_queue
27,1667,end_service
28,1667,begin_service
26,1677,end_service
29,1677,begin_service
25,1682,end_service
30,1682,begin_service
29,1737,end_service
30,1742,end_service
28,1743,end_service
31,1805,arrival
31,1805,join_queue
31,1805,begin_service
32,1812,arrival
32,1812,join_queue
32,1812,begin_service
33,1824,arrival
33,1824,join_queue
33,1824,begin_service
31,1865,end_service
34,1870,arrival
34,1870,join_queue
34,1870,begin_service
33,1884,end_service
35,1964,arrival
35,1964,join_queue
35,1964,begin_service
34,1977,end_service
36,1982,arrival
36,1982,join_queue
36,1982,begin_service
37,2015,arrival
37,2015,join_queue
35,2024,end_service
37,2024,begin_service
36,2042,end_service
38,2057,arrival
38,2057,join_queue
38,2057,begin_service
32,2112,end_service
37,2186,end_service
39,2191,arrival
39,2191,join_queue
39,2191,begin_service
40,2256,arrival
40,2256,join_queue
40,2256,begin_service
41,2284,arrival
41,2284,join_queue
42,2285,arrival
42,2285,join_queue
39,2289,end_service
41,2289,begin_service
43,2300,arrival
43,2300,join_queue
40,2316,end_service
42,2316,begin_service
41,2349,end_service
43,2349,begin_service
38,2357,end_service
42,2376,end_service
44,2409,arrival
44,2409,join_queue
44,2409,begin_service
43,2422,end_service
45,2427,arrival
45,2427,join_queue
45,2427,begin_service
46,2449,arrival
46,2449,join_queue
46,2449,begin_service
47,2456,arrival
47,2456,join_queue
48,2467,arrival
48,2467,join_queue
49,2475,arrival
49,2475,join_queue
46,2509,end_service
47,2509,begin_service
45,2511,end_service
48,2511,begin_service
50,2541,arrival
50,2541,join_queue
48,2571,end_service
49,2571,begin_service
44,2585,end_service
50,2585,begin_service
51,2586,arrival
51,2586,join_queue
49,2631,end_service
51,2631,begin_service
52,2632,arrival
52,2632,join_queue
47,2650,end_service
52,2650,begin_service
53,2656,arrival
53,2656,join_queue
51,2691,end_service
53,2691,begin_service
52,2710,end_service
54,2717,arrival
54,2717,join_queue
54,2717,begin_service
50,2748,end_service
54,2823,end_service
53,2848,end_service
55,2865,arrival
55,2865,join_queue
55,2865,begin_service
55,2934,end_service
56,3279,arrival
56,3279,join_queue
56,3279,begin_service
57,3296,arrival
57,3296,join_queue
57,3296,begin_service
57,3356,end_service
58,3358,arrival
58,3358,join_queue
58,3358,begin_service
56,3395,end_service
59,3420,arrival
59,3420,join_queue
59,3420,begin_service
60,3508,arrival
60,3508,join_queue
60,3508,begin_service
61,3534,arrival
61,3534,join_queue
58,3556,end_service
61,3556,begin_service
60,3568,end_service
59,3594,end_service
61,3616,end_service
62,3621,arrival
62,3621,join_queue
62,3621,begin_service
63,3648,arrival
63,3648,join_queue
63,3648,begin_service
62,3681,end_service
64,3687,arrival
64,3687,join_queue
64,3687,begin_service
65,3733,arrival
65,3733,join_queue
65,3733,begin_service
66,3757,arrival
66,3757,join_queue
67,3790,arrival
67,3790,join_queue
68,3807,arrival
68,3807,join_queue
65,3812,end_service
66,3812,begin_service
64,3872,end_service
67,3872,begin_service
69,3919,arrival
69,3919,join_queue
70,3929,arrival
70,3929,join_queue
63,3948,end_service
68,3948,begin_service
67,3974,end_service
69,3974,begin_service
69,4050,end_service
70,4050,begin_service
66,4112,end_service
71,4140,arrival
71,4140,join_queue
71,4140,begin_service
68,4158,end_service
72,4161,arrival
72,4161,join_queue
72,4161,begin_service
73,4181,arrival
73,4181,join_queue
72,4221,end_service
73,4221,begin_service
70,4224,end_service
71,4261,end_service
74,4413,arrival
74,4413,join_queue
74,4413,begin_service
75,4467,arrival
75,4467,join_queue
75,4467,begin_service
74,4473,end_service
73,4521,end_service
76,4631,arrival
76,4631,join_queue
76,4631,begin_service
77,4662,arrival
77,4662,join_queue
77,4662,begin_service
76,4691,end_service
75,4701,end_service
77,4722,end_service
78,4786,arrival
78,4786,join_queue
78,4786,begin_service
79,4808,arrival
79,4808,join_queue
79,4808,begin_service
78,4846,end_service
80,4986,arrival
80,4986,join_queue
80,4986,begin_service
81,5075,arrival
81,5075,join_queue
81,5075,begin_service
79,5108,end_service
82,5111,arrival
82,5111,join_queue
82,5111,begin_service
83,5120,arrival
83,5120,join_queue
80,5128,end_service
83,5128,begin_service
81,5135,end_service
84,5225,arrival
84,5225,join_queue
84,5225,begin_service
85,5230,arrival
85,5230,join_queue
86,5244,arrival
86,5244,join_queue
87,5267,arrival
87,5267,join_queue
83,5271,end_service
85,5271,begin_service
82,5330,end_service
86,5330,begin_service
